year,CZ,SK,diff,ratio,log_ratio
2000,923.632639242255,602.216316001004,321.416323241251,1.5337223763308252,0.4276977063385431
2001,1031.86199087316,660.564557067337,371.29743380582306,1.5620910626120281,0.4460253484454802
2002,1127.05597350433,733.154662350182,393.90131115414806,1.537269053014637,0.43000749999459653
2003,1274.92748494971,772.485345536528,502.4421394131821,1.6504228750957237,0.5010315430131485
2004,1329.60205076974,970.308366603134,359.2936841666059,1.3702881439891372,0.3150210418046873
2005,1402.73753191245,1096.34465541369,306.3928764987602,1.279467661000406,0.24644410158192662
2006,1476.81148184918,1295.77939892026,181.03208292891986,1.1397090300090966,0.13077299299381398
2007,1580.40692077435,1523.9607583405,56.44616243385008,1.0370391180513838,0.036369650861267276
2008,1777.90553695607,1651.42538569973,126.48015125633992,1.0765884746302048,0.07379722174671953
2009,2015.82206337411,1835.70926035238,180.1128030217301,1.0981161924231706,0.09359615936762487
2010,2108.1628537198,1947.52381787727,160.6390358425299,1.0824837336354738,0.07925815411691706
2011,2186.78939893319,1918.63580440356,268.15359452963,1.139762634427116,0.13082002531175455
2012,2222.76218002489,2035.44789904929,187.3142809755998,1.092026074979905,0.08803475522436002
2013,2309.53893837499,2101.07177884091,208.46715953407966,1.0992194372574382,0.09460032542407083
2014,2471.6316360658,1999.39166683437,472.2399692314302,1.2361918262764025,0.21203554624609372
2015,2488.40059471994,2033.22456889956,455.1760258203799,1.223869036791511,0.20201718228027807
2016,2671.87867801903,2110.68929808851,561.1893799305199,1.2658796727868693,0.2357672740128576
2017,2853.60853255343,2038.17442479971,815.4341077537199,1.4000806299165744,0.3365298277603646
2018,3075.20564894086,2092.63844486791,982.5672040729501,1.4695351012415194,0.3849460931118148
2019,3422.44658856912,2350.36598550736,1072.08060306176,1.4561334743917917,0.3757846175452602
2020,4023.5557809821,2494.68704539571,1528.86873558639,1.6128499117386803,0.4780027456746622
2021,4581.48007414835,2924.74365874287,1656.7364154054794,1.5664552551308333,0.44881526740869476
2022,4616.50710655892,3168.87107684495,1447.63602971397,1.4568302069124541,0.37626298432917893
